"Country"	"Year"	"ETH_FRAC"	"FEDERAL"	"FISC_DECEN"	"Leg_ENP"	"Govt_Parties"	"Age"	"Unemploy"	"EOGDP"	"Transfers.t1"	"PublicGoods.t1"	"Transfers2.t1"	"TotExpenditures.t1"	"TotExpenditures2.t1"	"GovCoalParSize"	"NatCabM"	"NatParM"	"NatCabB"	"NatParB"	"NatCoal"	"NatCoalPar"	"DistrictHomogeneity"	"PartyHomogeneityCab"	"PartyHomogeneityPar"	"AveMag"	"ParlSize"	"Experience"
"Australia"	1996	"0.44"	1	"32.92"	"2.57"	2	"15.23095"	"4.3"	56	"79835000000.0"	"46988000000.0"	"118786927798.3"	"207609927798.3"	"167932927798.3"	0.6486	"-64.088349"	"-41.564951"	"93.8705375"	"60.884391282"	93.03632	60.343357152	"0.4386194"	"0.343971075"	"0.2231002154"	1	"64.86"	41
"Australia"	2004	"0.44"	1	"32.92"	"2.40"	2	"15.74489"	"4.9"	"54.1"	"108893000000.0"	"77264000000.0"	"199599377363.1"	"325580377363.1"	"280412377363.1"	0.58	"-4.54562"	"-4.385643"	"88.954931"	"51.59385998"	88.95493	51.5938594	"0.382202"	"0.3225166667"	"0.18802349"	1	"58.00"	44
"Canada"	1997	"0.77"	1	"53.05"	"2.98"	1	"12.22017"	"9.1"	"44.3"	"107803000000.0"	"104558000000.0"	"205432000000.0"	"354958000000.0"	"341813000000.0"	0.392	"-58.025533"	"-22.746009"	"91.114873"	"35.717030216"	91.11488	35.71703296	"0.3688668"	"0.3316936"	"0.1300238912"	1	"39.20"	31
"Canada"	2004	"0.77"	1	"53.05"	"3.03"	1	"12.95742"	"7.2"	"39.9"	"140876000000.0"	"136247000000.0"	"300314000000.0"	"506814000000.0"	"484921000000.0"	0.4383	"-57.024105"	"-24.993665"	"91.330177"	"40.0300165791"	91.33018	40.030017894	"0.3270438"	"0.2838135"	"0.1243954571"	1	"43.83"	33
"Czech Republic"	1996	"0.11"	0	"16.89"	"4.15"	3	"13.39341"	"3.9"	"42.6"	"301567000000.0"	"208059000000.0"	"527246000000.0"	"890420000000.0"	"747637000000.0"	0.495	"64.095053"	"29.753446"	"84.104343783"	"42.346774935"	96.48154	47.7583623	"0.7199739"	"0.491729396"	"0.2481128945"	"14.3"	"49.50"	0
"Czech Republic"	2002	"0.11"	0	"16.89"	"3.67"	2	"13.87769"	"7.3"	"46.3"	"431597000000.0"	"315616000000.0"	"816150000000.0"	"1333196000000.0"	"1149015000000.0"	0.205	"60.874739"	"36.970017"	"76.438346798"	"45.358813725"	97.14038	19.9137779	"0.3112227"	"0.25271455"	"0.1517790495"	"14.3"	"50.50"	1
"Denmark"	1998	"0.06"	0	"32.65"	"4.63"	2	"14.92071"	"4.9"	"56.3"	"254801000000.0"	"212403000000.0"	"340563000000.0"	"646502000000.0"	"604104000000.0"	0.397	"72.925157"	"28.525403"	"94.122965461"	"37.684336495"	97.68852	38.78234244	"0.606978"	"0.5032515619"	"0.206940578"	"19.5723684210526"	"39.70"	33
"Denmark"	2001	"0.06"	0	"32.65"	"4.48"	2	"14.82276"	"4.5"	"54.2"	"289420000000.0"	"231332000000.0"	"389906000000.0"	"732672000000.0"	"674584000000.0"	0.411	"58.753141"	"23.053268"	"90.9929338552"	"37.590658772"	98.85686	40.63016946	"0.2789355"	"0.2639778895"	"0.1101290394"	"19.5723684210526"	"41.10"	34
"Finland"	2003	"0.13"	0	"31.78"	"4.93"	3	"15.45901"	"9.1"	"50.2"	"29984000000.0"	"25259000000.0"	"38468000000.0"	"73275000000.0"	"66533000000.0"	0.585	"-45.502775"	"-25.597351"	"71.3522540878"	"42.76197773"	88.90632	52.0101972	"0.3986435"	"0.3429746789"	"0.202590598"	"13.3333333333333"	"58.50"	16
"France"	2002	"0.32"	0	"13.5"	"2.17"	3	"16.2424"	"8.6"	"52.6"	"327592000000.0"	"279560000000.0"	"440621000000.0"	"797649000000.0"	"723902000000.0"	0.683	"25.237189"	"22.588754"	"68.7275551518"	"62.926353685"	95.37099	65.13838617	"0.2758081"	"0.2051708893"	"0.1866881631"	1	"68.30"	11
"Germany"	1999	"0.11"	1	"32.91"	"2.90"	2	"16.0893"	"8.3"	"48.2"	"374790000000.0"	"379730000000.0"	"405920000000.0"	"825400000000.0"	"795500000000.0"	0.515	"26.449247"	"11.950279"	"91.6239638125"	"47.39480389"	93.71554	48.2635031	"0.3282172"	"0.2740087938"	"0.141543298"	"11.4"	"51.50"	13
"Germany"	2002	"0.11"	1	"32.91"	"3.38"	2	"17.27789"	"8.4"	48	"422530000000.0"	"427470000000.0"	"485290000000.0"	"946160000000.0"	"921390000000.0"	0.507	"28.942857"	"14.048223"	"93.1590628"	"47.297070886"	95.05556	48.19316892	"0.3126246"	"0.26079346"	"0.1324787919"	"10.0746268656716"	"50.70"	14
"Hungary"	1998	"0.01"	0	"13.93"	"4.10"	3	"14.74854"	"8.4"	"50.2"		"1518199560000.0"	"3119132000000.0"		"4713787560000.0"	0.551	"-24.039265"	"-12.733713"	"92.5486881734"	"50.986488589"	91.12717	50.21107067	"0.3731084"	"0.3010857611"	"0.1657781789"	"6.2"	"55.10"	2
"Hungary"	2002	"0.01"	0	"13.93"	"2.19"	2	"15.31292"	"5.8"	"50.7"	"3310891000000.0"	"2612051000000.0"	"5437435000000.0"	"9086183000000.0"	"8109447000000.0"	0.513	"57.15034"	"28.023716"	"79.58711825"	"39.550322716"	95.25513	48.86588169	"0.3169183"	"0.3196474"	"0.1617351702"	"6.2"	"51.30"	3
"Iceland"	1999	"0.03"	0	"23.38"	"3.15"	2	"11.54432"	2	42		"44572994294.0"	"193512550186.9"		"268330021990.9"	0.603	"24.681615"	"18.419095"	"75.0423562565"	"47.462832886"	95.03423	57.30564069	"0.7396834"	"0.6274856154"	"0.3873579946"	"10.5"	"60.30"	43
"Iceland"	2003	"0.03"	0	"23.38"	"3.71"	2	"11.73117"	"3.4"	"45.6"		"71181488144.0"	"275764993228.3"		"383626615652.3"	0.539	"33.212599"	"20.261752"	"81.138665335"	"44.732976815"	95.65403	51.55752217	"0.4619844"	"0.5387986308"	"0.292157103"	"10.5"	"53.90"	44
"Ireland"	2002	"0.03"	0	"7.35"	"3.30"	2	"11.1304"	"4.5"	"33.5"	"19889377848.0"	"12287420103.0"	"27406464374.0"	"48289687604.0"	"39869418859.0"	0.536	"59.347684"	"31.67709"	"88.586998"	"48.411580296"	94.49128	50.64732608	"0.45091"	"0.3737908875"	"0.2026640352"	"4.04878048780488"	"53.60"	27
"New Zealand"	1996	"0.42"	0	"9.84"	"3.76"	2	"11.52391"	"6.3"	"40.6"		"12989000000.0"	"21223000000.0"		"36501000000.0"	0.509	"-56.309001"	"-28.691291"	"76.3116785725"	"38.455220873"	91.47994	46.56328946	"0.5386824"	"0.4343527571"	"0.2190998566"	"1.6"	"50.90"	42
"New Zealand"	2002	"0.42"	0	"9.84"	"3.76"	2	"11.83958"	"5.3"	"37.3"		"14128000000.0"	"28726396159.4"		"45463396159.4"	0.45	"28.061142"	"12.355172"	"91.2109476604"	"41.2774910943"	86.65503	38.9947635	"0.4707796"	"0.4133716"	"0.1865927827"	"1.6"	"45.00"	45
"Norway"	1997	"0.06"	0	"21.07"	"4.36"	3	"15.724"	"3.9"	"46.9"	"227461000000.0"	"169766000000.0"	"295423000000.0"	"592607000000.0"	"501143000000.0"	0.2546	"66.827188"	"16.731636"	"80.5594032"	"20.542004411"	93.18315	23.72442999	"0.4766796"	"0.31534992"	"0.0813396701"	"8.7"	"25.46"	13
